regression_function,network,units,mses,maes
m1,create_network_1,9,"[0.5027382969856262, 1.4713268280029297, 0.5249461531639099, 0.2855628728866577, 0.4129014015197754, 0.2758572995662689, 0.27729085087776184, 0.5775722861289978, 1.0771578550338745, 0.2228989601135254, 0.2241852730512619, 0.5259782075881958, 1.4986680746078491, 0.36068961024284363, 0.29282477498054504, 0.7758859992027283, 0.29352155327796936, 1.40187406539917, 0.5158747434616089, 0.5254414677619934, 0.2178579866886139, 1.171517252922058, 0.3980666697025299, 0.34310266375541687, 1.1114734411239624, 0.22908687591552734, 1.3582593202590942, 0.5146770477294922, 0.8303682208061218, 0.7490038275718689, 0.5694272518157959, 0.39110860228538513, 0.28027835488319397, 1.1163982152938843, 0.4357300400733948, 0.8831170201301575, 0.8578988909721375, 0.7440803647041321, 0.255168616771698, 0.34768766164779663, 0.6658897399902344, 0.9384870529174805, 0.7518019676208496, 0.2330416440963745, 0.7203933000564575, 0.25803592801094055, 0.23711295425891876, 0.6184328198432922, 0.8514079451560974, 0.4198897182941437]","[0.620665967464447, 1.1365693807601929, 0.6395725011825562, 0.4643634259700775, 0.5539318919181824, 0.4587656259536743, 0.46103155612945557, 0.6872885823249817, 0.9678788185119629, 0.41692784428596497, 0.41956639289855957, 0.6337261199951172, 1.1507197618484497, 0.5187224745750427, 0.47259870171546936, 0.8117227554321289, 0.47297194600105286, 1.108473300933838, 0.6342407464981079, 0.6389298439025879, 0.41194647550582886, 1.0088169574737549, 0.5434598326683044, 0.5072298645973206, 0.9811456203460693, 0.42291614413261414, 1.0912797451019287, 0.6500304937362671, 0.8370395302772522, 0.7900074124336243, 0.6714645028114319, 0.5424493551254272, 0.46381956338882446, 0.9834099411964417, 0.5700755715370178, 0.8644939064979553, 0.8524888157844543, 0.7901117205619812, 0.44267094135284424, 0.5103374123573303, 0.7333710193634033, 0.8978524804115295, 0.7977585196495056, 0.4241741895675659, 0.7668645977973938, 0.4450664520263672, 0.42967233061790466, 0.7107688784599304, 0.8559250831604004, 0.5627344250679016]"
m1,create_network_2,9,"[0.16553927958011627, 0.17045734822750092, 0.15417614579200745, 0.17311900854110718, 0.17045529186725616, 0.15042753517627716, 0.1736983358860016, 0.15259091556072235, 0.16423459351062775, 0.17946843802928925, 0.16530677676200867, 0.408705472946167, 0.1659974753856659, 0.1583789438009262, 0.17415232956409454, 0.17038269340991974, 0.17178210616111755, 0.16687533259391785, 0.18084095418453217, 0.17405414581298828, 0.1541290581226349, 0.16134443879127502, 0.18410667777061462, 0.17181307077407837, 0.1836250126361847, 0.16275843977928162, 0.19603799283504486, 0.17786826193332672, 0.16278603672981262, 0.16600877046585083, 0.17682695388793945, 0.1791015863418579, 0.16225974261760712, 0.18503478169441223, 0.18085283041000366, 0.18990997970104218, 0.16122640669345856, 0.17282459139823914, 0.16514410078525543, 0.1766408383846283, 0.16590677201747894, 0.17038121819496155, 0.16766194999217987, 0.18187358975410461, 0.17868486046791077, 0.1795150190591812, 0.1740654855966568, 0.1534845381975174, 0.15427498519420624, 0.13322067260742188]","[0.3550717234611511, 0.3607836067676544, 0.342366486787796, 0.3563789129257202, 0.3616391122341156, 0.3345416486263275, 0.3666062355041504, 0.3387075662612915, 0.352902352809906, 0.37059247493743896, 0.35383203625679016, 0.5802943706512451, 0.3554767668247223, 0.34393078088760376, 0.36148133873939514, 0.3519890308380127, 0.36037278175354004, 0.3526168763637543, 0.3730674982070923, 0.355723112821579, 0.3454985022544861, 0.34946176409721375, 0.3781752586364746, 0.36115762591362, 0.3775007426738739, 0.3520452678203583, 0.3862430453300476, 0.3683750033378601, 0.35410016775131226, 0.3531809449195862, 0.37077847123146057, 0.3694342076778412, 0.338323175907135, 0.3737373352050781, 0.37550410628318787, 0.382802277803421, 0.3451105058193207, 0.36545825004577637, 0.35712313652038574, 0.36760345101356506, 0.3449617326259613, 0.3455747365951538, 0.3432522118091583, 0.371012806892395, 0.3725593686103821, 0.3704991340637207, 0.36193811893463135, 0.33963707089424133, 0.3310032784938812, 0.3210051953792572]"
m1,create_network_3,15,"[0.15756036341190338, 0.08353560417890549, 0.12367169559001923, 0.16742020845413208, 0.17239245772361755, 0.12722402811050415, 0.12679097056388855, 0.0173138827085495, 0.009101737290620804, 0.14030607044696808, 0.07576672732830048, 0.03142872080206871, 0.045442383736371994, 0.16436471045017242, 0.16463281214237213, 0.14078083634376526, 0.1637422889471054, 0.12001676112413406, 0.018873823806643486, 0.09012038260698318, 0.11279331892728806, 0.06787589192390442, 0.1424414962530136, 0.0903518870472908, 0.15868034958839417, 0.16931961476802826, 0.06011183559894562, 0.08984296768903732, 0.10158391296863556, 0.12380972504615784, 0.16389088332653046, 0.03534353896975517, 0.04960484430193901, 0.15650609135627747, 0.04386172816157341, 0.1573401242494583, 0.15647117793560028, 0.15938733518123627, 0.1632615178823471, 0.16968117654323578, 0.16350455582141876, 0.15344052016735077, 0.06549941748380661, 0.15447373688220978, 0.05794942378997803, 0.15193915367126465, 0.09899553656578064, 0.07128281146287918, 0.0032675114925950766, 0.1310943365097046]","[0.3417363166809082, 0.25246766209602356, 0.30637437105178833, 0.3453814387321472, 0.35452261567115784, 0.3031628429889679, 0.3146568536758423, 0.10588477551937103, 0.08201459050178528, 0.322290301322937, 0.23475712537765503, 0.14121688902378082, 0.17884546518325806, 0.34392446279525757, 0.34423714876174927, 0.3275041878223419, 0.34590616822242737, 0.29739272594451904, 0.10783657431602478, 0.25557395815849304, 0.2925117015838623, 0.21495923399925232, 0.3151116967201233, 0.2603286802768707, 0.34696561098098755, 0.35097378492355347, 0.2088926136493683, 0.24674732983112335, 0.2696569859981537, 0.3058016300201416, 0.34761786460876465, 0.15710566937923431, 0.18027187883853912, 0.3422284722328186, 0.1701589971780777, 0.3454119563102722, 0.34236660599708557, 0.35008475184440613, 0.3468798100948334, 0.35504549741744995, 0.3521806001663208, 0.3399565517902374, 0.20498815178871155, 0.34099459648132324, 0.20050205290317535, 0.3360516130924225, 0.2704763114452362, 0.22042188048362732, 0.04110819473862648, 0.315824955701828]"
m2,create_network_1,15,"[0.24158112704753876, 0.2460293024778366, 0.25054022669792175, 0.3711565136909485, 0.3063358962535858, 0.23322349786758423, 0.2643720805644989, 0.23265977203845978, 0.2212194949388504, 0.2845570743083954, 0.24553368985652924, 0.2608703374862671, 0.24426858127117157, 0.3111872971057892, 0.25064748525619507, 0.24302177131175995, 0.2686823308467865, 0.22030983865261078, 0.22504769265651703, 0.23814640939235687, 0.2990476191043854, 0.2614063620567322, 0.30597665905952454, 0.25438153743743896, 0.2253158539533615, 0.22638507187366486, 0.24283728003501892, 0.25270017981529236, 0.21298517286777496, 0.3475896418094635, 0.29122647643089294, 0.32084786891937256, 0.33594217896461487, 0.29086023569107056, 0.23374146223068237, 0.23442061245441437, 0.2918187081813812, 0.2677465081214905, 0.2534995973110199, 0.32633861899375916, 0.23134824633598328, 0.22842852771282196, 0.22031694650650024, 0.2305414080619812, 0.24907056987285614, 0.23768724501132965, 0.30395448207855225, 0.21973708271980286, 0.2478906214237213, 0.24939359724521637]","[0.4378727376461029, 0.4418376088142395, 0.4476848542690277, 0.5355895161628723, 0.49312624335289, 0.4311617612838745, 0.4597262144088745, 0.4302244484424591, 0.418258935213089, 0.47602251172065735, 0.4399898052215576, 0.456534206867218, 0.4403550326824188, 0.49252212047576904, 0.4465997517108917, 0.44013577699661255, 0.4626343250274658, 0.4175172746181488, 0.4225058853626251, 0.43542683124542236, 0.4849824905395508, 0.4571554958820343, 0.49162858724594116, 0.4498704671859741, 0.42282766103744507, 0.4240790903568268, 0.4400172233581543, 0.4478691816329956, 0.4102053642272949, 0.5184282660484314, 0.48078829050064087, 0.49907130002975464, 0.5116740465164185, 0.47890305519104004, 0.4311826825141907, 0.4312331974506378, 0.47857651114463806, 0.4627041518688202, 0.44837531447410583, 0.5036203861236572, 0.4286705553531647, 0.426925927400589, 0.4179135859012604, 0.4286377429962158, 0.44270452857017517, 0.4351295232772827, 0.489660382270813, 0.41499757766723633, 0.44428667426109314, 0.4453528821468353]"
m2,create_network_2,15,"[0.1369198113679886, 0.07759851217269897, 0.12021376937627792, 0.14905989170074463, 0.1230078786611557, 0.1128905788064003, 0.11021949350833893, 0.11674846708774567, 0.1400039941072464, 0.13695429265499115, 0.15482600033283234, 0.14761841297149658, 0.1707993894815445, 0.14011085033416748, 0.13391008973121643, 0.1653912365436554, 0.14235486090183258, 0.13989894092082977, 0.1472676694393158, 0.13535267114639282, 0.15907680988311768, 0.15517719089984894, 0.12496794760227203, 0.15337292850017548, 0.18557831645011902, 0.1371198296546936, 0.10957131534814835, 0.17280635237693787, 0.1619623303413391, 0.14636854827404022, 0.12529274821281433, 0.12327362596988678, 0.11691918969154358, 0.1646634042263031, 0.12937474250793457, 0.15715470910072327, 0.1399555802345276, 0.11432359367609024, 0.10259892791509628, 0.13768528401851654, 0.13582955300807953, 0.14856043457984924, 0.13539114594459534, 0.1435089111328125, 0.10594423860311508, 0.11737827956676483, 0.12440668791532516, 0.10866694152355194, 0.15152685344219208, 0.13960964977741241]","[0.2930363714694977, 0.2301149219274521, 0.28853026032447815, 0.3165668249130249, 0.28455695509910583, 0.2504919767379761, 0.25788283348083496, 0.2757798135280609, 0.3034578263759613, 0.3000039756298065, 0.3215022385120392, 0.31949883699417114, 0.3334398567676544, 0.3065716326236725, 0.29199349880218506, 0.3385184705257416, 0.3122520446777344, 0.30551791191101074, 0.3245187997817993, 0.2909332513809204, 0.32874947786331177, 0.3248424530029297, 0.2894735634326935, 0.3298605978488922, 0.36246079206466675, 0.2978661358356476, 0.2507894039154053, 0.35018569231033325, 0.33176273107528687, 0.30762702226638794, 0.28199028968811035, 0.2793179452419281, 0.27380919456481934, 0.3401496410369873, 0.2775246500968933, 0.3209390640258789, 0.3124578893184662, 0.2679297626018524, 0.2504253089427948, 0.30098646879196167, 0.29198360443115234, 0.3147225081920624, 0.30146604776382446, 0.3089989721775055, 0.25467899441719055, 0.27530691027641296, 0.2799952030181885, 0.26125508546829224, 0.3250320255756378, 0.30407994985580444]"
m2,create_network_3,15,"[0.05006754398345947, 0.020896879956126213, 0.03287148103117943, 0.07757977396249771, 0.023450171574950218, 0.05300089716911316, 0.007279254961758852, 0.036667633801698685, 0.011058198288083076, 0.05655716359615326, 0.07916784286499023, 0.029236767441034317, 0.08601601421833038, 0.020078957080841064, 0.09142851829528809, 0.09526988118886948, 0.07204005122184753, 0.022934963926672935, 0.04109852388501167, 0.020655255764722824, 0.06298960745334625, 0.018399588763713837, 0.08507610112428665, 0.005526874214410782, 0.05711938440799713, 0.07581568509340286, 0.05670636147260666, 0.08865658938884735, 0.0639999583363533, 0.07321520894765854, 0.02443009987473488, 0.059270624071359634, 0.04864508658647537, 0.06270540505647659, 0.03921045735478401, 0.083839051425457, 0.023507745936512947, 0.06432691961526871, 0.02264537662267685, 0.07383714616298676, 0.03915208578109741, 0.09991485625505447, 0.08692764490842819, 0.028749752789735794, 0.07622869312763214, 0.024415919557213783, 0.04943101480603218, 0.04365198314189911, 0.0755610391497612, 0.011119994334876537]","[0.15941539406776428, 0.10112173110246658, 0.12781725823879242, 0.19638662040233612, 0.11747436225414276, 0.16038890182971954, 0.06116029620170593, 0.138174906373024, 0.0762697234749794, 0.17696073651313782, 0.1936638355255127, 0.131423681974411, 0.2205251157283783, 0.10349570214748383, 0.2092488408088684, 0.21405646204948425, 0.17898862063884735, 0.11037073284387589, 0.153489351272583, 0.10500772297382355, 0.17737478017807007, 0.10151302069425583, 0.21750803291797638, 0.05711425468325615, 0.16846899688243866, 0.18907947838306427, 0.17413778603076935, 0.19985733926296234, 0.1626064032316208, 0.18150055408477783, 0.10645630955696106, 0.16250324249267578, 0.15173351764678955, 0.16524624824523926, 0.14685513079166412, 0.21030154824256897, 0.11399616301059723, 0.16483522951602936, 0.11670226603746414, 0.19690632820129395, 0.14690518379211426, 0.2361491173505783, 0.20310740172863007, 0.13120773434638977, 0.20550233125686646, 0.11680548638105392, 0.1502908170223236, 0.14990635216236115, 0.19180157780647278, 0.07763516902923584]"
m3,create_network_1,12,"[12.385847091674805, 8.39217472076416, 7.437849521636963, 10.94123649597168, 9.01323413848877, 8.557615280151367, 7.843019962310791, 6.951651096343994, 8.729047775268555, 8.478243827819824, 10.533342361450195, 8.311245918273926, 6.767296314239502, 6.590094566345215, 7.014416217803955, 8.81985092163086, 8.589631080627441, 8.217996597290039, 10.113494873046875, 10.448261260986328, 8.257336616516113, 8.228874206542969, 10.531872749328613, 10.842042922973633, 6.431927680969238, 8.982027053833008, 9.912654876708984, 8.05213451385498, 6.420529365539551, 9.568375587463379, 7.960558891296387, 9.445363998413086, 8.438884735107422, 10.106661796569824, 10.59390640258789, 7.81233549118042, 9.63141918182373, 8.967729568481445, 7.756410121917725, 7.176253318786621, 7.505306720733643, 10.070657730102539, 9.206925392150879, 7.543555736541748, 7.052830696105957, 10.103687286376953, 9.244317054748535, 8.613017082214355, 7.594707489013672, 8.651156425476074]","[3.014887571334839, 2.76523494720459, 2.640638828277588, 2.925757884979248, 2.795363187789917, 2.7808890342712402, 2.6799910068511963, 2.570324420928955, 2.7985382080078125, 2.733440637588501, 2.89709210395813, 2.7347140312194824, 2.549135684967041, 2.53377628326416, 2.575482130050659, 2.7718005180358887, 2.7519679069519043, 2.737196445465088, 2.8895702362060547, 2.905409574508667, 2.7352962493896484, 2.743196964263916, 2.8995230197906494, 2.94765567779541, 2.489159345626831, 2.811929941177368, 2.8835365772247314, 2.7096240520477295, 2.4894299507141113, 2.852947235107422, 2.719762086868286, 2.822828769683838, 2.7549686431884766, 2.9006881713867188, 2.9236350059509277, 2.6816625595092773, 2.8496487140655518, 2.7908577919006348, 2.667149782180786, 2.6274497509002686, 2.655527114868164, 2.877608060836792, 2.836232900619507, 2.6568591594696045, 2.5987181663513184, 2.876844644546509, 2.8159499168395996, 2.759164333343506, 2.681264638900757, 2.7925994396209717]"
m3,create_network_2,15,"[2.4028851985931396, 2.868898868560791, 3.4780960083007812, 5.5516862869262695, 3.1621947288513184, 5.2009406089782715, 4.166250705718994, 2.7568600177764893, 2.4775197505950928, 2.772874116897583, 2.7747397422790527, 3.8158247470855713, 2.7860381603240967, 3.442004680633545, 2.3181653022766113, 2.4097163677215576, 2.590862512588501, 3.057523488998413, 2.640411138534546, 3.463763952255249, 4.433679103851318, 2.987243413925171, 3.3562874794006348, 2.112967014312744, 5.931778907775879, 2.2106547355651855, 3.5643746852874756, 2.704685926437378, 3.0962109565734863, 3.1030821800231934, 4.148026466369629, 5.667999267578125, 2.3547229766845703, 5.8553595542907715, 2.6475980281829834, 4.092629432678223, 2.2534399032592773, 3.2481985092163086, 4.5497517585754395, 2.4868969917297363, 2.9586756229400635, 3.710052251815796, 3.5225493907928467, 2.3648908138275146, 4.102036952972412, 3.3958096504211426, 2.3617265224456787, 4.892629146575928, 2.506316661834717, 3.5793097019195557]","[1.2263091802597046, 1.4519932270050049, 1.6684587001800537, 2.2714121341705322, 1.5430803298950195, 2.123680830001831, 1.8798892498016357, 1.387123942375183, 1.2796711921691895, 1.3854345083236694, 1.4159737825393677, 1.799696683883667, 1.4152631759643555, 1.6415915489196777, 1.2425156831741333, 1.2665297985076904, 1.3479814529418945, 1.5137039422988892, 1.3497895002365112, 1.6275933980941772, 1.9964112043380737, 1.4752665758132935, 1.643163800239563, 1.1272783279418945, 2.3735084533691406, 1.1945234537124634, 1.6879401206970215, 1.3983982801437378, 1.515560507774353, 1.5307244062423706, 1.8667317628860474, 2.278268337249756, 1.2730172872543335, 2.339726448059082, 1.3467938899993896, 1.8575795888900757, 1.175334095954895, 1.576060175895691, 1.9976792335510254, 1.3042409420013428, 1.4698797464370728, 1.739560604095459, 1.6947941780090332, 1.2339746952056885, 1.80350923538208, 1.6406316757202148, 1.2368111610412598, 2.1380817890167236, 1.3472284078598022, 1.6954689025878906]"
m3,create_network_3,9,"[1.6763335466384888, 1.7662087678909302, 2.5119152069091797, 2.1960620880126953, 2.012754440307617, 1.3724387884140015, 4.175177097320557, 1.2515316009521484, 1.6912668943405151, 1.3488610982894897, 1.9025357961654663, 2.380845069885254, 1.950059413909912, 12.234142303466797, 1.3682763576507568, 1.5266172885894775, 1.1753313541412354, 2.16454815864563, 1.3244339227676392, 1.2445228099822998, 1.700239896774292, 1.9975942373275757, 4.037938117980957, 1.5737143754959106, 5.41864013671875, 1.754487156867981, 1.8113794326782227, 1.1996337175369263, 1.0393260717391968, 2.77042818069458, 2.7050368785858154, 1.8683500289916992, 2.0323030948638916, 1.5693479776382446, 2.572927236557007, 2.19671893119812, 1.755895733833313, 1.445050597190857, 1.1848301887512207, 1.2984083890914917, 1.7546539306640625, 4.509880542755127, 2.039276123046875, 1.3786829710006714, 1.8370848894119263, 1.285971760749817, 2.237459421157837, 12.217555046081543, 1.5924720764160156, 5.915860652923584]","[0.9669889807701111, 0.9611902236938477, 1.378832221031189, 1.1734734773635864, 1.1674985885620117, 0.8406509160995483, 1.8566827774047852, 0.8057402968406677, 0.9838452339172363, 0.848801851272583, 1.1797086000442505, 1.327055811882019, 1.079587697982788, 3.0011940002441406, 0.9127460718154907, 0.8988766670227051, 0.7797698378562927, 1.2184633016586304, 0.8220618963241577, 0.7747662663459778, 1.014189600944519, 1.081549882888794, 1.7939127683639526, 0.9384890794754028, 2.1629645824432373, 1.0645623207092285, 1.1388057470321655, 0.7930199503898621, 0.7181546688079834, 1.390865445137024, 1.415858268737793, 1.049979567527771, 1.1721118688583374, 0.9613776803016663, 1.3611427545547485, 1.273146629333496, 1.0921543836593628, 0.8558783531188965, 0.7519780993461609, 0.7793770432472229, 0.9798105955123901, 1.9621784687042236, 1.2129265069961548, 0.8594262599945068, 1.1355228424072266, 0.826774001121521, 1.2666608095169067, 2.9996540546417236, 1.0188597440719604, 2.346801519393921]"
m4,create_network_1,3,"[0.13410447537899017, 0.3639232814311981, 0.05556566268205643, 0.08469387888908386, 0.0772322341799736, 0.18267688155174255, 0.04126213490962982, 0.14273881912231445, 0.046969223767519, 0.15232421457767487, 0.10850539803504944, 0.12602072954177856, 0.08344890922307968, 0.12544608116149902, 0.20326794683933258, 0.2135627716779709, 0.22188879549503326, 0.11175072938203812, 0.22071506083011627, 0.12447730451822281, 0.04665474221110344, 0.04979345574975014, 0.05650641769170761, 0.05181049928069115, 0.09287130832672119, 0.16791798174381256, 0.2135392725467682, 0.08099430799484253, 0.06126470863819122, 0.11501063406467438, 0.049096476286649704, 0.04807242751121521, 0.033397797495126724, 0.019263440743088722, 0.06623660773038864, 0.11097857356071472, 0.03471794351935387, 0.03390438109636307, 0.07788866013288498, 0.09814657270908356, 0.13099023699760437, 0.018395524471998215, 0.050948090851306915, 0.2543011009693146, 0.10276070237159729, 0.03374597802758217, 0.14696775376796722, 0.07079070061445236, 0.12159211188554764, 0.0880204364657402]","[0.287142276763916, 0.44818243384361267, 0.17211386561393738, 0.21619708836078644, 0.21339856088161469, 0.28368592262268066, 0.14941520988941193, 0.28552159667015076, 0.16127324104309082, 0.3050929605960846, 0.2552379369735718, 0.2818128764629364, 0.22856737673282623, 0.27007701992988586, 0.36469948291778564, 0.33411717414855957, 0.36148399114608765, 0.26925888657569885, 0.34593522548675537, 0.283649206161499, 0.16297221183776855, 0.15962176024913788, 0.16535738110542297, 0.16515372693538666, 0.23117412626743317, 0.32101762294769287, 0.3672706186771393, 0.19438479840755463, 0.16187065839767456, 0.24181444942951202, 0.15967626869678497, 0.17330573499202728, 0.13111619651317596, 0.11050540208816528, 0.19523246586322784, 0.26131969690322876, 0.13407324254512787, 0.13068853318691254, 0.20459166169166565, 0.22826874256134033, 0.2751377820968628, 0.1097642108798027, 0.17538630962371826, 0.38038307428359985, 0.2562549114227295, 0.13478858768939972, 0.30449771881103516, 0.19288058578968048, 0.2664317488670349, 0.22687560319900513]"
m4,create_network_2,12,"[0.006035736296325922, 0.013522596098482609, 0.008534600958228111, 0.004021062981337309, 0.006182474549859762, 0.010639596730470657, 0.013096235692501068, 0.008529409766197205, 0.012385155074298382, 0.005343279801309109, 0.010158897377550602, 0.008423766121268272, 0.003583159763365984, 0.0028403468895703554, 0.008191442117094994, 0.009340925142168999, 0.01186774019151926, 0.006096747238188982, 0.004902475513517857, 0.0034274673089385033, 0.025712408125400543, 0.0025484077632427216, 0.006715546827763319, 0.006288283038884401, 0.013159270398318768, 0.004890548996627331, 0.005076137837022543, 0.007529896683990955, 0.006873279344290495, 0.008159994147717953, 0.007368417456746101, 0.007650287356227636, 0.011199390515685081, 0.00846748799085617, 0.009939240291714668, 0.007931618951261044, 0.004206733778119087, 0.005236616358160973, 0.006764168851077557, 0.00562639394775033, 0.009013443253934383, 0.011891464702785015, 0.007645684294402599, 0.006175911985337734, 0.008000964298844337, 0.005670891609042883, 0.004902169574052095, 0.008054903708398342, 0.010977417230606079, 0.00873666349798441]","[0.06174815818667412, 0.09248780459165573, 0.07560213655233383, 0.049363695085048676, 0.06340271979570389, 0.08386227488517761, 0.0920642763376236, 0.07220012694597244, 0.09013038128614426, 0.059231407940387726, 0.08227577805519104, 0.07426949590444565, 0.04538591951131821, 0.04160337895154953, 0.0732574537396431, 0.08111054450273514, 0.08974641561508179, 0.06249253824353218, 0.05537731572985649, 0.045466482639312744, 0.10798385739326477, 0.039252083748579025, 0.06833221018314362, 0.062030963599681854, 0.09303423762321472, 0.057090360671281815, 0.05454389750957489, 0.06994414329528809, 0.06562639772891998, 0.07271085679531097, 0.06917973607778549, 0.0716138556599617, 0.08617622405290604, 0.07284069061279297, 0.07987382262945175, 0.07156196981668472, 0.048645779490470886, 0.06013770028948784, 0.06567244976758957, 0.06105735898017883, 0.07655078172683716, 0.08810268342494965, 0.0719682052731514, 0.06321384757757187, 0.07076025009155273, 0.06008215248584747, 0.055920302867889404, 0.07094112783670425, 0.08180389553308487, 0.07657447457313538]"
